name,excerpt,description,inspiration_id,created_at,updated_at,question,factor,code
One company conference,Host an employee conference to facilitate sharing across offices,"One company holds a four-day conference touching on themes from the common drivers of engagement. The first day is about the company's future, the second day is about the employees and their development, and the third day is for learning about each other and how employees work together. Bringing together people from multiple offices allows people to connect, share experiences and form bonds that aren't organically cultivated in geographically dispersed teams.",123692a3-236e-47b3-8cea-14b4fa2a7ec1,2017-08-17T11:00:12.033117,2018-01-25T04:20:45.763997,I have been provided an opportunity to see and discuss recent employee survey results,,ACT.1
Manager lotteries,Connect managers across the business to talk about action,Pair managers across the organization so that they can meet over lunch or coffee to discuss opportunities and what actions their teams are taking. One company pairs managers who have similar opportunities (identified from recent employee survey results) so that they can learn from each other and break down organizational boundaries. ,c52aefeb-54c5-46fe-b8c6-9285f89e461e,2017-08-17T11:00:07.009575,2018-01-25T04:20:45.762100,I have seen positive changes taking place based on recent employee survey results,,ACT.3
Courage to share action stories,Share what your team is doing to address feedback,"To maintain momentum, it's essential that the actions taken as a result of survey feedback are visible to employees. At one company, individual and team actions resulting from feedback are shared at regular state-of-the-business all hands meetings by leaders from each team.",d987ecd5-5e79-4246-aac1-1c3ee4a5f489,2017-08-17T11:00:08.696655,2018-01-25T04:20:45.781829,I have seen positive changes taking place based on recent employee survey results,,ACT.3
Action update emails,Communicate progress addressing feedback,Communicate often and regularly about what is being done based on employee feedback. One company set up a monthly email update from each leader in the business. The content and format of the email is driven by the leader with no predefined formats or approaches. Leaders get creative in their communications but always make sure to link back to the original feedback and associated action.,00e41e9a-d260-49ad-98b5-f70f6c92a258,2017-08-17T11:00:10.401494,2018-01-25T04:20:45.763193,I have seen positive changes taking place based on recent employee survey results,,ACT.3
Internal communications channels,Using internal communication channels to align on decisions,"Use internal communications channels to align on decisions. One company uses internal collaboration channels to help team members feel more involved in decision making. Individual channels are created for specific projects and teams to support cross-communication. All key decisions are shared and debated in the relevant channels, ensuring that team members are involved in outcomes that affect day-to-day work activities. Team members are not required to be involved in the conversation, but are welcome to participate if they choose to.",4ef79dcb-02b0-494e-a5f4-9ea05cab571b,2017-08-17T11:00:29.159373,2018-01-25T04:20:45.769092,I am appropriately involved in decisions that affect my work,,ALI.1
Team retrospectives and planning,Using team retrospectives and planning to learn,"Achieve role clarity through team retrospectives and planning. Retrospective and planning meetings can be held with managers and team leads to align and improve processes. The meetings provide an opportunity to reflect on previous goals, work and processes; discuss what worked well and what could be improved and plan, redirect and align efforts to company goals. At the meeting decisions can be made and alignment on key priorities and roles improved.",207205f9-8a8b-4903-937e-288b80d4dca2,2017-08-17T11:00:31.741760,2018-01-25T04:20:45.769780,I am appropriately involved in decisions that affect my work,,ALI.1
Decision-making framework,Include consulting others in your decision-making framework,"Making consultation part of the formal decision-making process facilitates transparency and clarity. Share who has been consulted on a decision whenever a decision is shared. By highlighting the names of people who were consulted, reviewers of the decision can quickly identify the basis for the decision. This practice is particularly helpful in global organizations. It is not to demonstrate consensus, but to show that decision-makers considered other perspectives and implications.",ef4cdbe2-439e-43a7-a198-895e32847b30,2017-08-17T11:01:00.420301,2018-01-25T04:20:45.790682,I am appropriately involved in decisions that affect my work,,ALI.1
Shark tank style competition,Cross-functional teams pitch award ideas,"Encourage employees to pitch ideas to executives in a ""Shark Tank-style"" competition. At one company cross-fuctional teams were formed to build ideas to pitch to the ""Sharks"" - a collection of senior leaders. This program encouraged cross-functional collaboration, healthy competition and recognition of great ideas. Once an idea was selected, resources were made available to implement.",58f77db6-d764-4827-9c13-ada9d996f512,2017-08-17T11:03:14.763822,2018-01-25T04:20:45.882793,I am appropriately involved in decisions that affect my work,,ALI.1
Realistic job preview,Aligning expectations of new hires,"Be intentional about setting expectations for newcomers. One company enhances alignment and establishes trust during the recruiting and onboarding processes through Realistic Job Previews (RJPs). RJPs are communicated through video, sound bites, text and graphics and highlight the positive aspects of the role, organization and values. They provide specific examples of what's expected within the first six months of employment. Of equal importance, the RJP covers the challenging aspects of the role, reasons people left in the past and potential challenges new people may face.",b36cb2af-00ac-43bf-9a54-a83a5cc9fa7c,2017-08-17T11:00:22.575293,2018-01-25T04:20:45.766938,I am happy with my current role relative to what was described to me,,ALI.2
Swap worst tasks,Swap your least favorite tasks and see if they can be improved,"Create empathy and understanding by 'working in someone else's shoes'. Encourage employees to swap their least favorite tasks for a week. The goal is for each person to identify a better way of getting the task done by the end of the week. People get better visibility into the not-so-pleasant parts of each role. Additionally, fresh eyes can often lead to new ideas.",3d227a78-2002-4ef4-98c6-03347faa866c,2017-08-17T11:00:35.852625,2018-01-25T04:20:45.771215,I am happy with my current role relative to what was described to me,,ALI.2
LinkedIn makeover,Manager and employee work together on description,"Encourage employees to work with their manager to make over the employees' LinkedIn profile. The goal is to identify gaps in how employees and managers describe the job. Additionally, managers have an opportunity to review peoples' experience and identify how they might utilize their skills and strengths in their current role.",bbd0f858-7537-433d-9113-c2d5fafb85d5,2017-08-17T11:00:38.313556,2018-01-25T04:20:45.772650,I am happy with my current role relative to what was described to me,,ALI.2
Job description time capsules,Closing the feedback loop on job expectations,"Ensure there is alignment in job expectations and requirements. At one company employees write down their understanding of the job expectations on the first day at work and put their note aside to be reviewed later. A month later, employees write their job description. In this second instance the question posed is, 'If we were to hire someone like you in this role in the future how would you describe the activities?'. They discuss the expectations document written on day one and the recently written job description with their manager. Where there is significant misalignment, the manager and employee are encouraged to discuss any adjustments that can be made. The manager is also encouraged to share back with HR any significant discrepancies so that adjustments can be made to the hiring process and job descriptions as appropriate.",af6f68b7-814c-484e-b0c2-fc9991bd4dcb,2017-08-17T11:00:40.831195,2018-01-25T04:20:45.779591,I am happy with my current role relative to what was described to me,,ALI.2
Reverse interview,Making dedicated time and formalizing,"Try reverse-interviewing to help prospective employees understand the job expectations and ensure the job is a match for them. The prospect interviews the people who would be their colleagues about the job, the culture and anything else they're interested in. The employees being interviewed don't ask questions, but focus on responding to the prospect. These sessions usually last 30-45 minutes.",4873cbf7-44c0-44e2-9702-a7216daab121,2017-08-17T11:00:42.482001,2018-01-25T04:20:45.785283,I am happy with my current role relative to what was described to me,,ALI.2
