Key,Name,Course,Course Lenght,Length(Weeks),Min,Max, AM Tuition fee (Offshore), AM Tuition fee (Onshore), PM Tuition fee (Offshore), PM Tuition fee (Onshore), Enrolment Fee, Material Fee,Mat Week frecuency, Max week Mat, Morning Timetable,Afternoon Timetable,Night Timetable,Amenities,City,Address,Close to,Id,Lat,Long
Ability - Melbourne,Ability,General English,52,1-12 weeks,1,11, $ 265.00 , $ 265.00 , $ 225.00 , $ 225.00 , $ 220.00 , $ 10.00 ,1,,   Lun - Vie 8:30 - 2:30pm; 9:00am - 3:00pm,   Lun - Vie 5:00pm - 9:30pm,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"55 Swanston St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",1,-37.8164,144.9666
Ability - Melbourne,Ability,General English,52,More than 12 weeks,12,52, $ 260.00 , $ 260.00 , $ 225.00 , $ 225.00 , $ 220.00 , $ 10.00 ,1,,   Lun - Vie 8:30 - 2:30pm; 9:00am - 3:00pm,   Lun - Vie 5:00pm - 9:30pm,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"55 Swanston St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",1,-37.8164,144.9666
Ability - Sydney,Ability,General English,52,1-12 weeks,1,11, $ 265.00 , $ 265.00 , $ 225.00 , $ 225.00 , $ 220.00 , $ 10.00 ,1,,   Lun - Vie 8:30 - 2:30pm; 9:00am - 3:00pm,   Lun - Vie 5:00pm - 9:30pm,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Sydney,"10 Quay St, Sydney","Estacion central de Sydney, Libreria UTS, Parque Belmore, Universidad de Tecnologia de Sydney, Central park mall",2,-33.8819837,151.203824
Ability - Sydney,Ability,General English,52,More than 12 weeks,12,52, $ 260.00 , $ 260.00 , $ 225.00 , $ 225.00 , $ 220.00 , $ 10.00 ,1,,   Lun - Vie 8:30 - 2:30pm; 9:00am - 3:00pm,   Lun - Vie 5:00pm - 9:30pm,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Sydney,"10 Quay St, Sydney","Estacion central de Sydney, Libreria UTS, Parque Belmore, Universidad de Tecnologia de Sydney, Central park mall",2,-33.8819837,151.203824
AIE - Melbourne,AIE,General English,52,,1,52, $ 170.00 , $ 170.00 , $ 170.00 , $ 170.00 , $ 250.00 , $ 5.00 ,1,,   Lun - Vie 8:30 - 5:00pm,    Vie 1:00pm - 5:00pm; Sab - Dom 8:30 - 5:00pm,,"Sala de computacion, Cocina, Salon de descanso",Melbourne,"Level 11, 474 Flinders Street, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",3,-37.8198244,144.9583012
Albright - Melbourne,Albright,General English,52,24+ weeks,24,52, $ 200.00 , $ 200.00 , $ 190.00 , $ 190.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 9:00am - 1:15pm,   Lun - Vie 5:30pm - 9:45pm,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"341/345 Queen street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",4,-37.8103717,144.958126
Albright - Melbourne,Albright,General English,52,1-23 weeks,1,23, $ 210.00 , $ 210.00 , $ 190.00 , $ 190.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 9:00am - 1:15pm,   Lun - Vie 5:30pm - 9:45pm,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"341/345 Queen street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",4,-37.8103717,144.958126
Albright - Melbourne,Albright,General English,52,12+ weeks,12,52,, $ 190.00 ,,, $ 200.00 , $ 10.00 ,1,,   Lun - Vie 9:00am - 1:15pm,,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"341/345 Queen street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",4,-37.8103717,144.958126
Albright - Melbourne,Albright,General English,52,1-11 weeks,1,11,, $ 210.00 ,,, $ 200.00 , $ 10.00 ,1,,   Lun - Vie 9:00am - 1:15pm,,,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"341/345 Queen street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",4,-37.8103717,144.958126
Impact English College - Melbourne,Impact English College,General English,52,All,1,52, $ 270.00 , $ 270.00 , $ 270.00 , $ 270.00 , $ 200.00 , $ 60.00 ,10,,   Lun - Vie 8:50am - 1:15pm,   Lun - Vie 1:20pm - 5:45pm,,"Sala de computacion, Cafeteria en el campo, Libreria, Sala de descanso, Cocina moderna, Salones de actividades, Internet gratis",Melbourne,"5/620 Bourke St, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",5,-37.816229,144.9553219
