Name,Amenities,City,Address,Surrounding,Logo URL,ID,Latitude,Longitude
Ability - Melbourne,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"55 Swanston St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Ability.png,1,-37.8164,144.9666
Ability - Sydney,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Sydney,"10 Quay St, Sydney","Estacion central de Sydney, Libreria UTS, Parque Belmore, Universidad de Tecnologia de Sydney, Central park mall",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Ability.png,2,-33.8819837,151.203824
AIE - Melbourne,"Sala de computacion, Cocina, Salon de descanso",Melbourne,"Level 11, 474 Flinders Street, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/AIE.png,3,-37.8198244,144.9583012
Albright - Melbourne,"Salon de descanso para estudiantes, Cocina, Salones con proyectores, Neveras, Accesso a silla de ruedas, Internet gratis, Sala de computacion, Sala de juegos",Melbourne,"341/345 Queen street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Albright.png,4,-37.8103717,144.958126
Impact English College - Melbourne,"Sala de computacion, Cafeteria en el campo, Libreria, Sala de descanso, Cocina moderna, Salones de actividades, Internet gratis",Melbourne,"5/620 Bourke St, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Bayside.png,5,-37.816229,144.9553219
INUS English - Melbourne,"Sala de computacion, Libreria con recursos, Fotocopiadora e impresoras, Acceso a silla de ruedas, Internet gratis, Aire acondicionado, Cocina moderna, Cafeteria, ",Melbourne,"85-91 Queen St, Melbourne","Banco de Melbourne, El Museo del Banco de ANZ, Univrsidad de La Trobe, Instituto de Tecnologia Nova, Estacion de tren de Flinders street",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Inus.png,6,-37.8164801,144.9610829
ANCE - Melbourne,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"474 Flinders St, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ANCE.png,7,-37.8198244,144.9583012
Bayside - Melbourne,"Cocina, Aire acondicionado, Sala de descanso, Salones modernos, Consejero personal, Salones de reuniones",Melbourne,"55 Acland St, St Kilda","Parque de diversiones Luna Park, Playa de St Kilda, Jardines botanicos de St Kilda, Mercado del Esplanade de St kilda",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Bayside.png,8,-37.8656452,144.9767993
Discover English - Melbourne,"Internet gratis, Cocina moderna, Sala de descanso, Maquinas expendedoras, Sala de computacion, Aire acondicionado, Salones modernos y espaciosos",Melbourne,"247 Collins St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/DiscoverEnglish.png,9,-37.8160721,144.9657225
ELSIS - Melbourne,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"Level 7, 399 Lonsdale street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, CEntro comercial Emporium, Myer, Libreria del Estado de Victoria, Iglesia de San Francis",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ELSIS.png,10,-37.8130231,144.9606243
ELSIS - Sydney,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Sydney,"Level 2/545 Kent St, Sydney","Acuario de Sydney, Edificio de Queen Victoria, Museo Maritimo de Australia, Sydney Town Hall, Darling Harbour",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ELSIS.png,11,-33.8759786,151.2052225
ELSIS - Brisbane,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Brisbane,"1/126 Margaret St, Brisbane City","Jardines botanicos de Brisbane, El Centro Myer, Estacion de tren Central, Galeria de Arte Moderno, La rueda de Brisbane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ELSIS.png,12,-27.4728403,153.0275664
Lyceum english Language - Melbourne,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Lyceum.png,13,-37.8155047,144.9606243
LAB Languages - Melbourne,"Sala de computacion, Libreria con recursos, Fotocopiadora e impresoras, Acceso a silla de ruedas, Internet gratis, Aire acondicionado, Cocina moderna, Cafeteria, ",Melbourne,"8/250 Collins St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/LAB.png,14,-37.8154515,144.9654643
Lonsdale Institute - Melbourne,"Sala de computacion, Cocina, Salon de descanso",Melbourne,"Level 1, 277 Flinders Lane, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/LonsdaleInstitute.png,15,-37.8171905,144.9652666
Melbourne College - Melbourne,"Sala de actividades, Internet gratis, Sala de descanso, Salones modernos, Cocina moderna, ",Melbourne,"Level 13, 190 Queen street, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/MelbourneCollege.png,16,-37.8140304,144.9607964
Milestones English Academy - Melbourne,"Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"11/190 Queen St, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Milestones.png,17,-37.8140304,144.9607964
Holmes-OHC - Melbourne,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/HolmesOHC.png,18,-37.8102902,144.972168
Holmes-OHC - Sydney,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/HolmesOHC.png,19,-33.8697848,151.2058274
Holmes-OHC - Brisbane,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/HolmesOHC.png,20,-27.4700411,153.0269833
Orange International College - Melbourne,"Salones de clase modernos, Libreria moderna, Salon de computacion, impresoras y fotocopiadoras gratuitas, Cocina moderna con electrodomesticos, Salon de descanso, Salon de estudio privado",Melbourne,"420/416 Collins St, Melbourne","Acuario de Melbourne, Museo de immigracion, Estacion de tren de Flinders street, Crown casino, Southbank",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/OrangeInternationalCollege.png,21,-37.8170705,144.9603529
SACE College of English - Melbourne,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Melbourne,"Tower 4, Level 5/18-38 Siddeley St, Melbourne","Crown Casino, Melbourne DFO, Estacion de tren de Southern Cross, Centro de Convenciones de Melbourne, Acuario de Melbourne",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/SACE.png,22,-37.8226739,144.953839
SACE College of English - Adelaide,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Adelaide,"Level 1/47 Waymouth St, Adelaide","Parques Discovery, Universidad de Flinders, Victoria Square, Mercado Central de Adelaide, Teatro Su Majestad, Chinatown",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/SACE.png,23,-34.9261236,138.5978514
Smeag English - Melbourne,"Sala de computacion, Salones modernos, Sala de descanso, Cocina moderna, Internet gratis, Sala de juegos, Libreria moderna, ",Melbourne,"Level 4&5, 310 King Street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Smeag.png,24,-37.8128184,144.954365
CCEB - Cairns,"Cafeteria, Salones modernos, Salon de descanso, Internet gratis",Cairns,"27 Aplin St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/CCEB.png,25,-16.921994,145.7727647
Holmes-OHC - Cairns,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Cairns,"18 Lake St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/HolmesOHC.png,26,-16.9247722,145.7785927
Imagine - Gold Coast,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Jardin de recreacion",Gold Coast,"13 Benowa Rd, Southport","Isla Macintosh, Isla Chevron, Surfaise Paradaise",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Imagine.png,27,-27.9846444,153.4084565
Holmes-OHC - Gold Coast,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Gold Coast,"Circle on Cavill South Tower, 2/3184 Surfers Paradise Blvd, Surfers Paradise","Parque Lionel Perry, Torre de observacion Skypoint, Rio Nerang, Parque memorial Jhon Fraser",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/HolmesOHC.png,28,-28.0012026,153.4277335
Kaplan - Perth,"Salones de clase modernos, Salon de descanso, Salon de estudio con recursos, Salon de recreacion y deporte, Internet gratis, Gimnasio",Perth,"1325 Hay St, Perth","Estacion de tren City West, Jardines Botanicos, Centro de Exibicion y convenciones, Scientech, Departamento de transporte, El Viejo Observatorio",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Kaplan.png,29,-31.9478175,115.8381741
International House - Sydney,"Salones modernos, Internet gratis, Salon de conferencias con proyectores, Fotocopiadoes e impresoras, Sala de computacion, Libreria, Cocina moderna, Sala de descanso",Sydney,"Level 1, 203 Clarence St, Sydney","Acuario de Sydney, Edificio de Queen Victoria, Museo Maritimo de Australia, Sydney Town Hall, Darling Harbour",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/InternationalHouse.png,30,-33.8697461,151.2051313
Greenwich - Sydney,"Salones modernos, Internet gratis, Fotocopiadora e impresoras, Sala de computacion, Cocinas modernas, Aire acondicionado, Acceso a silla de ruedas, ",Sydney,"2/396 Pitt St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Greenwich.png,31,-33.8782978,151.2075577
ILSC - Sydney,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Libreria, Mesa de Ping Pong, Salon de Oracion",Sydney,"6/532-540 George St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ILSC.png,32,-33.8733328,151.2073828
ILSC - Brisbane,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Libreria, Mesa de Ping Pong, Salon de Oracion",Brisbane,"1/232 Adelaide St, Brisbane City","Estacion Central,  Jardines Botanicos de Brisbane, Myer Centre, Brisbane City Hall, Hospital privado de Brisbane",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ILSC.png,33,-27.4664747,153.0272214
Kaplan - Sydney,"Salones de clase modernos, Salon de descanso, Salon de estudio con recursos, Salon de recreacion y deporte, Internet gratis, Gimnasio",Sydney,"98-104 Goulburn St, Sydney","ANZAC Jardin Memorial, Paque Belmore, Centro Comercial World Square, Estacion Central de Sydney, Museo de Australia, ",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Kaplan.png,34,-33.8782647,151.2099292
Impact English College - Brisbane,"Sala de computacion, Cafeteria en el campo, Libreria, Sala de descanso, Cocina moderna, Salones de actividades, Internet gratis",Brisbane,"1/110 Eagle St, Brisbane City","Catedral de St Stephen, Jardines Botanicos, Waterfront, Ferries de Brisbane, Parque del Capitan Burke, Catedral de St John",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/ImpactEnglish.png,35,-27.4662808,153.0300829
Imagine - Brisbane,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Jardin de recreacion",Brisbane,"170 Leichhardt St, Spring Hill","Catedral de St John, Parque Roma, Parque Wickham, Parque Edward Park, Estacion Central, Universidad de James Cook, Estacion de Roma Street",https://res.cloudinary.com/martin-labs/image/upload/v1557699189/passpor/school_logo/Imagine.png,36,-27.4617834,153.026129
