answer_text,date_created,date_updated,search_table_id,category_main,category_sec,category_thir,category_four,category_five,link_main,link_sec,link_thir,name_link_main,name_link_sec,name_link_thir
"No se require visa, sin embargo, se requiere un permiso que se obtiene online si viajas despues del 1 de Octuber 2019. Se recomienda aplicar al menos 3 días antes del viaje. Puedes encontrar mas información en el siguiente enlace <LINK1>",6-Aug-19,6-Aug-19,1,Viaje,Visa,Nueva Zelanda,Auckland,,https://www.immigration.govt.nz/new-zealand-visas/apply-for-a-visa/about-visa/nzeta,,,Immigracion de NZ,,
"El tiempo determinado por la embajada ade Nueva Zelanda para obtener una visa es de 40 dias, mas sin embargo estos dias pueden variar y puede que te la otorguen en 15 o 20 dias. Esta tiene un costo approximado de $NZD 200. Para mas informacion ve a la pagina web de la embajada de NZ <Link>",6-Aug-19,6-Aug-19,2,Viaje,Visa,Nueva Zelanda,,,https://www.immigration.govt.nz/new-zealand-visas/apply-for-a-visa,,,Immigracion de NZ,,
"Existen muchas agencias de immigracion que te pueden ayudar a tramitar tu visa de estudiante. Estas agencias se encuentran ubicadas en Colombia o en Australia y las puedes contactar por su pagina web. A continuacion, puedes leer nuestro blog acerca de como escoger una agencia estudiantil. Tambien te recomendamos usar nuestra herramienta de comparasion para que compares cursos en Australia.",6-Aug-19,6-Aug-19,3,Negocios,Agencias,Estudiar,Visa,,Blog,,,,,
"Para trabajar de mensajero conduciendo una moto / scooter, es recomendable obtener un seguro contra accidente a terceros y tambien seguro que proteja tus ingresos en caso de accidente. Estos seguros los puedes obtener con cualquiera de los siguientes proveedores. <Link>",6-Aug-19,6-Aug-19,4,Vida,Seguro,Trabajo,Negocios,,https://deliveroo.bikmo.com/,https://www.youi.com.au/,,Deliveroo,Seguros Youi,
"La documentacion requerida para la aplicacion de la visa depende de tu estado laboral y personal. Si actualmente te encuentras trabajando, deberas adjuntar tu carta laboral especificando el tiempo en el que llevas laborando y tu salario. Si eres estudiante, deberas adjuntar los documentos que justifiquen esta actividad.",6-Aug-19,6-Aug-19,5,Visa,Documentos,Trabajo,,,,,,,,
"De acuerdo a un gran numero de recomendaciones y un analisis que hicimos, los siguientes sitios web son las agencias donde puedes encontrar ticketes aereos mas economicos.",6-Aug-19,6-Aug-19,6,Viaje,Buscador,Negocios,Ticketes,,https://www.cheapoair.com/,https://www.agoda.com,,Cheapoair viajes,Agoda Viajes,
"Puedes aplicar a una visa para Australia desde cualquier otro pais que no sea Colombia, simplemente debes dirigirte al link que te mostramos a continuacion y buscar el pais en el que te encuentras y realizar la aplicacion.",6-Aug-19,6-Aug-19,7,Visa,Documentos,Estados Unidos,,,https://immi.homeaffairs.gov.au/help-support/contact-us/offices-and-locations/offices-outside-australia?fbclid=IwAR0LxpIp2zzl7MDNsr9n3hRx7PohEiXFE8VFACNACm_hkRR5fjARBzAJTtM,,,Govierno de Australia,,
"Para aplicar a la Visa americana cuando resides en Australia, simplemente debes ingresar a la pagina web que te mostramos acontinuacion. Hay encontraras donde queda cada consulado en cada ciudad de Australia.",6-Aug-19,6-Aug-19,8,Visa,Documentos,Estados Unidos,Australia,,https://au.usembassy.gov/visas/nonimmigrant-visas/,,,Embajada de Estados Unidos,,
"Si te encuentras ubicado de Australia y deseas aplicar a una visa de Marruecos, deberas dirigirte a la embajada de Marruecos en Canberra. Para mayor informacion sobre esta visa, dirigete a la siguiente pagina web.",6-Aug-19,6-Aug-19,9,Viaje,Visa,Marruecos,,,http://www.moroccoembassy.org.au/,,,Embajada de Marruecos,,
"La traducción de tu licencia de conducir debe ser realizada por un traductor NAATI. Para ver la lista de todos los traductores disponibles, puedes ingresar al siguente link. Una de las empresas disponibles es Entrelingo la cual puedes contactar a traves del siguiente enlance.",6-Aug-19,6-Aug-19,10,Negocios,Documentos,Licencia,Traduccion,,https://www.naati.com.au/mynaati/PDSearch/StartNewSearch,https://www.entrelingo.com/,,Naati,Entrelingo,
"El gobierno Australiano no te va a hacer nada ni te va a cancelar la visa por ser la primera vez que te descubren, mas sin embargo podria traer complicaciones si te descubren de nuevo.",6-Aug-19,6-Aug-19,11,Vida,Visa,Trabajo,,,,,,,,
"La regulación en Australia exige que traigas medicinas únicamente para ti, es decir, uso personal. Requieres traer la prescripción médica. Lo mejor que puedes hacer es declararlo cuando hagas el proceso de immigración en Australia. Para mas información ingresa al siguiente <LINK1>",6-Aug-19,6-Aug-19,12,Vida,Ley,,,,https://www.tga.gov.au/entering-australia,,,Departamento de Salud de Australia,,
"Para consultar los precios y tarifas de las visas en Australia, puedes dirigirte al siguiente sitio web.",6-Aug-19,6-Aug-19,13,Visa,Tarifas,,,,https://immi.homeaffairs.gov.au/visas/getting-a-visa/fees-and-charges,,,Govierno de Australia,,
"Puedes cambiar de visas cuando estes en Australia siempre y cuando no tengas restricciones en la visa que tienes actualmente. Para ver si tienes alguna condicion o restriccion en tu visa, simplemnete ve a la pagina web acontinuacion.",6-Aug-19,6-Aug-19,14,Visa,Regulacion,Turista,Estudiar,,https://immi.homeaffairs.gov.au/visas/getting-a-visa/moving-between-visas,,,Govierno de Australia,,
"Si podrias conseguir trabajo en tu especialidad, mas sin embargo debes realizar la homologacion de tu carrera. Te pediran las notas de 12 materias en adelante y dependiendo de las notas que entregues, te pediran el examen del IELTS con una nota de 8 en todas las bandas. Por ultimo, te pediran un año de judicatura en un buffet y normalmente te califican tu desempeño. Pero esto lo deberas hacer en un tiempo de 3 años y deberas permanecer sin salirte, ya que si te sales de ese término, ya no te serviria para homologar tu carrera.",6-Aug-19,6-Aug-19,15,Vida,Trabajo,General,,,,,,,,
"Existen muchas instituciones educativas en donde puedes estudiar Ingles. Estas instituciones cuentan con su pagina web y las puedes encontrar en toda Australia. A continuacion, puedes leer nuestro blog acerca de como escoger una institucion educativa. Tambien te recomendamos usar nuestra herramienta de comparasion para que compares cursos en Australia.",6-Aug-19,6-Aug-19,16,Cursos,Buscador,Visa,Estudiar,,Comparison page,Blog,,,,
Muchos sitios venden Harina P.A.N para hacer arepas. Casa Iberica en Fitzroy lo vende. Tambien puedes realizar pedidos online a través de la empresa Cheeky Foods.,6-Aug-19,6-Aug-19,17,Negocios,Arepas,Maiz,,,http://casaibericadeli.com.au/,https://www.cheekyfoods.com.au/,,Casa Iberica,Cheeky Foods,
"Para denunciar a un empleador por motivos de trato injusto, puedes contactar a un Ombudsman or Fair Work Australia.",6-Aug-19,6-Aug-19,18,Negocios,Denuncias,Trabajo,,,https://www.fairwork.gov.au/,https://www.ombudsman.gov.au/,,Fair Work Australia,Ombudsman,
"Si tienes pensado ir a Mt Buller, se te recomienda que vayas en tu carro propio o alquiles uno, ya que cuentas con tu propio tiempo y no estas sometido a terceras personas. Tambien se te es recomendado que tengas mas de un dia disponible para que puedas disfrutar el viaje.",6-Aug-19,6-Aug-19,19,Viaje,Tips,,,,,,,,,
"Existen varias iglesias con misa en español. La iglesia de Santa Brigida en 378 Nicholson Street Fizroy North tiene misa a las 7:00 pm. Adicionalmente, la iglesia de St. Mary en Ascot Vale ubicada 123 St Leonards Road Ascot Vale tiene misa en español los domingos a las 6:00 pm. Para más información ingresa a <Link1> o <Link2>",6-Aug-19,6-Aug-19,20,Negocios,Iglesia,Catolica,,,http://masstimes.melbournecatholic.org.au/Fitzroy-North,http://masstimes.melbournecatholic.org.au/Ascot-Vale-and-Maribyrnong,,Iglesica Catolica Fitzroy,Iglesia Catolica Ascot Vale,
"Para apostillar un documento, deberas llamar a la embajada y sacar una cita con ellos. Es tambien recomendable que imprimas un formulario que te van a pedir para este tramite. Para mayor informacion puedes dirigirte a la pagina web a continuacion.",6-Aug-19,6-Aug-19,21,Vida,Documentos,Apostillada,Tramites,,https://australia.embajada.gov.co/,,,Embajada de Colombia,,
"De acuerdo a un numero de recomendaciones, puedes contactar ""La union de Inquilino"" la cual se encuentra ubicada en Fitzroy, Melbourne sin ningun costo alguno. ",6-Aug-19,6-Aug-19,22,Negocios,Abogado,Real Estate,,,admin@tuv.org.au,,,,,
"Como ciudadano Colombiano, si requieres visa para viajar a Japon. Esta visa la tienes que tramitar en la embajada de Japon. A continuacion te mostramos la pagina web de la embajada Japonesa.",6-Aug-19,6-Aug-19,23,Viaje,Visa,Japon,,,https://www.au.emb-japan.go.jp/itprtop_en/index.html,,,Embajada de Japon,,
"De acuerdo a un gran numero de recomendaciones, ""RC Australian Migration"" es una de las mejores empresas para tramite de visa ya que llevan bastante tiempo en el mercado. Para mayor informacion, dirigete a la pagina web a continuacion.",6-Aug-19,6-Aug-19,24,Negocios,Migracion,Español,,,https://www.rcaustralia.com.au/,,,RC Australia,,
