post_table_id,search_table_id,city,country,post_question_text,url,date_updated,date_created,post_raw_Text,post_id,group_id,date_stamp,reactions_like,reactions_love,reactions_haha,reactions_wow,group_name,tag_1,tag_2,tag_3,tag_4,tag_5
1,1,Melbourne,Australia,Se necesita visa para hacer escala en Auckland?,https://m.facebook.com/groups/8599519511?view=permalink&id=10157271055259512,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
2,1,Melbourne,Australia,Se necesita visa para hacer escala en Auckland?,https://m.facebook.com/groups/8599519511?view=permalink&id=10156990656259512,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
3,2,Melbourne,Australia,¿Cuanto tiempo se tarda en obtener la visa para Nueva Zelanda estando en Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282834154512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
4,3,Melbourne,Australia,¿Qué agencias hay para irse a estudiar a Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157273006629512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
5,4,Melbourne,Australia,¿Que tipo de seguro se neceita para trabajar haciendo entregas en scooter?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282502859512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
6,5,Melbourne,Australia,"¿Qué se necesita para aplicar a una visa Australiana, adjuntando una oferta laboral?",https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282480384512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
7,6,Melbourne,Australia,¿Por cual buscador puedo encontrar boletos aéreos económicos a Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157270428754512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
8,7,Melbourne,Australia,¿Puedo solicitar una visa para Australia desde Estados Unidos siendo colombiano?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282046764512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
9,8,Melbourne,Australia,¿Como hago para solicitar la visa americana desde Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282623064512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
10,9,Melbourne,Australia,¿Cómo aplico para una visa a Marruecos desde Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157280098974512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
